group,n,structure,pattern,operation,seconds,comparisons,rotations,nodes,memory_bytes,extra
strings,1000,Trie,prefixos_compartilhados,insert,0.004678,9548,0,5754,1224312,
strings,1000,Trie,prefixos_compartilhados,search,0.000948,9548,0,5754,1224312,
strings,1000,Trie,prefixos_compartilhados,prefix_query,0.000481,400,0,5754,1224312,
strings,1000,Patricia,prefixos_compartilhados,insert,0.002735,4106,0,1312,253313,
strings,1000,Patricia,prefixos_compartilhados,search,0.003547,13351,0,1312,253313,
strings,1000,Patricia,prefixos_compartilhados,prefix_query,0.000350,662,0,1312,253313,
strings,5000,Trie,prefixos_compartilhados,insert,0.017658,47546,0,26288,5571272,
strings,5000,Trie,prefixos_compartilhados,search,0.005710,47546,0,26288,5571272,
strings,5000,Trie,prefixos_compartilhados,prefix_query,0.001952,400,0,26288,5571272,
strings,5000,Patricia,prefixos_compartilhados,insert,0.017307,22708,0,6450,1259593,
strings,5000,Patricia,prefixos_compartilhados,search,0.016096,68771,0,6450,1259593,
strings,5000,Patricia,prefixos_compartilhados,prefix_query,0.000573,672,0,6450,1259593,
strings,10000,Trie,prefixos_compartilhados,insert,0.042526,94902,0,50087,10526032,
strings,10000,Trie,prefixos_compartilhados,search,0.012366,94902,0,50087,10526032,
strings,10000,Trie,prefixos_compartilhados,prefix_query,0.004072,400,0,50087,10526032,
strings,10000,Patricia,prefixos_compartilhados,insert,0.035380,48206,0,13391,2611677,
strings,10000,Patricia,prefixos_compartilhados,search,0.035745,140121,0,13391,2611677,
strings,10000,Patricia,prefixos_compartilhados,prefix_query,0.001138,686,0,13391,2611677,
ordenaveis,1000,BST,aleatorio,insert,0.002419,20252,0,1000,48000,
ordenaveis,1000,BST,aleatorio,search,0.001995,21252,0,1000,48000,
ordenaveis,1000,BST,zipf,search,0.000861,8960,0,1000,48000,
ordenaveis,1000,BST,localidade,search,0.001007,10738,0,1000,48000,
ordenaveis,1000,BST,aleatorio,delete,0.000456,2974,0,800,38400,
ordenaveis,1000,AVL,aleatorio,insert,0.006606,17564,745,1000,48000,
ordenaveis,1000,AVL,aleatorio,search,0.001680,17438,0,1000,48000,
ordenaveis,1000,AVL,zipf,search,0.000928,9566,0,1000,48000,
ordenaveis,1000,AVL,localidade,search,0.001152,11946,0,1000,48000,
ordenaveis,1000,AVL,aleatorio,delete,0.001527,5790,92,800,38400,
ordenaveis,1000,Splay,aleatorio,insert,0.005432,25662,12823,1000,48000,
ordenaveis,1000,Splay,aleatorio,search,0.004828,24842,12816,1000,48000,
ordenaveis,1000,Splay,zipf,search,0.002562,13566,6411,1000,48000,
ordenaveis,1000,Splay,localidade,search,0.002348,12664,5872,1000,48000,
ordenaveis,1000,Splay,aleatorio,delete,0.001190,5988,3093,800,38400,
ordenaveis,1000,Treap,aleatorio,insert,0.003850,21230,1922,1000,48000,
ordenaveis,1000,Treap,aleatorio,search,0.002119,22664,0,1000,48000,
ordenaveis,1000,Treap,zipf,search,0.002008,21834,0,1000,48000,
ordenaveis,1000,Treap,localidade,search,0.001981,19776,0,1000,48000,
ordenaveis,1000,Treap,aleatorio,delete,0.000966,8263,163,800,38400,
ordenaveis,1000,BST,ordenado,insert,0.108318,999000,0,1000,48000,
ordenaveis,1000,BST,ordenado,search,0.104840,1000000,0,1000,48000,
ordenaveis,1000,BST,ordenado,delete,0.000119,400,0,800,38400,
ordenaveis,1000,AVL,ordenado,insert,0.009667,17954,990,1000,48000,
ordenaveis,1000,AVL,ordenado,search,0.002939,16974,0,1000,48000,
ordenaveis,1000,AVL,ordenado,delete,0.001964,4656,98,800,38400,
ordenaveis,1000,Splay,ordenado,insert,0.001309,3996,0,1000,48000,
ordenaveis,1000,Splay,ordenado,search,0.005849,26542,14017,1000,48000,
ordenaveis,1000,Splay,ordenado,delete,0.000179,958,282,800,38400,
